,time,surface_sensible_heat_flux_sum,band,snowfall_sum,surface_thermal_radiation_downwards_sum,surface_solar_radiation_downwards_sum,total_precipitation_sum,surface_latent_heat_flux_sum,snow_depth,skin_temperature,surface_snow_amount,avg_volumetric_water_content,average_lake_temperature,temperature_2m
129,2022-10-16 12:00:00,68.65592,band_4,2.2042546e-05,275.98965,27.296713,2.516867e-05,61.262802,5.6144418e-06,275.32483,21.920155,37.14886,276.06183,270.9511
130,2022-10-16 12:00:00,84.84439,band_5,2.3635941e-05,276.2601,21.34921,2.9021367e-05,70.509125,0.00010266092,275.51685,33.074448,39.823284,275.83508,270.6226
131,2022-10-16 12:00:00,66.65194,band_6,1.901418e-05,280.36243,15.570073,2.0238565e-05,47.936142,0.00028313426,273.1316,4.5374575,22.003197,275.8708,270.8006
132,2022-11-16 00:00:00,32.904026,band_1,3.9420353e-05,278.30362,15.916904,3.9420614e-05,42.99304,3.262421e-11,273.50528,258.62122,36.1315,274.1852,270.64484
133,2022-11-16 00:00:00,33.36642,band_2,2.14908e-05,270.11823,10.863717,2.2206836e-05,35.177727,0.0064137257,272.11484,51.97515,37.13025,273.36478,269.24875
134,2022-11-16 00:00:00,41.22851,band_3,1.843943e-05,269.786,7.3082976,1.8735767e-05,36.51862,0.009945763,270.99994,41.10017,37.415806,272.28802,267.46393
135,2022-11-16 00:00:00,67.57186,band_4,1.8288332e-05,265.57425,3.7834907,1.8409952e-05,48.630615,0.027844623,271.08383,54.014324,37.91017,272.3023,266.71576
136,2022-11-16 00:00:00,85.2491,band_5,2.1364534e-05,261.0274,1.7565613,2.1415202e-05,52.612904,0.056365754,269.5074,65.51362,39.868248,272.49976,264.45667
137,2022-11-16 00:00:00,37.020798,band_6,1.7661992e-05,246.92482,0.5316256,1.784433e-05,23.898296,0.03569101,264.3504,28.686666,22.505207,272.901,261.77896
138,2022-12-16 12:00:00,49.76277,band_1,3.0093785e-05,245.8474,5.9652047,3.0094818e-05,28.619154,0.012906608,265.20554,311.82803,36.1315,272.0545,263.01007
139,2022-12-16 12:00:00,41.0625,band_2,1.1423372e-05,235.92134,2.8357508,1.14354825e-05,17.976532,0.031877745,262.17102,71.678665,37.13025,271.75568,260.3388
140,2022-12-16 12:00:00,25.53931,band_3,1.2725579e-05,222.99681,0.6162001,1.2725699e-05,8.188178,0.06593569,257.91205,62.039417,37.415806,271.6482,257.49313
141,2022-12-16 12:00:00,19.999851,band_4,1.1109818e-05,205.81813,0.004100936,1.1109858e-05,5.526432,0.08143311,254.57477,76.29572,37.91017,271.862,253.42166
142,2022-12-16 12:00:00,12.328869,band_5,1.1061137e-05,188.3853,0.0,1.1061163e-05,3.2001202,0.12602824,250.58974,88.38803,39.868248,271.4585,250.02805
143,2022-12-16 12:00:00,4.6020107,band_6,5.4409584e-06,163.70717,0.0,5.4412158e-06,2.524512,0.11726982,244.92374,46.878822,22.505207,271.48264,245.18529
144,2023-01-16 12:00:00,7.478988,band_1,3.4275025e-05,257.216,11.455974,3.4275163e-05,12.429829,0.08571534,264.3237,395.59952,36.1315,271.7028,264.68008
145,2023-01-16 12:00:00,1.9018935,band_2,2.0949039e-05,240.42128,7.6682105,2.0950061e-05,12.1923065,0.098403096,262.8668,85.059875,37.13025,271.6236,263.0475
146,2023-01-16 12:00:00,-3.195577,band_3,1.6863614e-05,230.83652,4.001156,1.6863667e-05,8.741248,0.13807975,261.15518,83.19227,37.415806,271.62228,261.3921
147,2023-01-16 12:00:00,-3.212684,band_4,1.3927029e-05,221.81021,1.6217049,1.3927207e-05,5.546669,0.16279976,258.07132,99.30485,37.91017,271.6306,258.28403
